StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Consent answer ,ID ,left Q1_1,left Q1 sc_1,left Q2_1,left Q2 sc_1,left Q3_1,left Q3 sc_1,left Q4_1,left Q4 sc_1,left Q5_1,left Q5 sc_1,left Q6_1,left Q6 sc_1,left Q7_1,left Q7 sc_1,left Q8_1,left Q8 sc_1,left Q9_1,left Q9 sc_1,left Q10_1,left Q10 sc_1,left Q11_1,left Q11 sc_1,left Q12_1,left Q12 sc_1,left Q13_1,left Q13 sc_1,left Q14 _1,left Q14 sc_1,left Q15_1,left Q15 sc_1,left Q16_1,left Q16 sc_1,left Q17_1,left Q17 sc_1,left Q18_1,left Q18 sc_1,left Q19_1,left Q19 sc_1,left Q20_1,left Q20 sc_1,left Q21_1,left Q21 sc_1,left Q22_1,left Q22 sc_1,left Q23_1,left Q23 sc_1,left Q24_1,left Q24 sc_1,left Q25_1,left Q25 sc_1,left Q26_1,left Q26 sc_1,left Q27_1,left Q27 sc_1,left Q28_1,left Q28 sc_1,left Q29_1,left Q29 sc_1,left Q30_1,left Q30 sc_1,right Q1_1,right Q1 sc_1,right Q2_1,right Q2 sc_1,right Q3_1,right Q3 sc_1,right Q4_1,right Q4 sc_1,right Q5_1,right Q5 sc_1,right Q6_1,right Q6 sc_1,right Q7_1,right Q7 sc_1,right Q8_1,right Q8 sc_1,right Q9_1,right Q9 sc_1,right Q10_1,right Q10 sc_1,right Q11_1,right Q11 sc_1,right Q12_1,right Q12 sc_1,right Q13_1,right Q13 sc_1,right Q14_1,right Q14 sc_1,right Q15_1,right Q15 sc_1,right Q16_1,right Q16 sc_1,right Q17_1,right Q17 sc_1,right Q18_1,right Q18 sc_1,right Q19_1,right Q19 sc_1,right Q20_1,right Q20 sc_1,right Q21_1,right Q21 sc_1,right Q22_1,right Q22 sc_1,right Q23_1,right Q23 sc_1,right Q24_1,right Q24 sc_1,right Q25_1,right Q25 sc_1,right Q26_1,right Q26 sc_1,right Q27_1,right Q27 sc_1,right Q28_1,right Q28 sc _1,right Q29_1,right Q29 sc_1,right Q30_1,right Q30 sc_1,self-description,opinion,unclear ,Thank you_First Click,Thank you_Last Click,Thank you_Page Submit,Thank you_Click Count,PROLIFIC_PID
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"Please read and agree to the following before the survey begins. 

I agree that the scientific data from this research will be stored on a computer and can contribute to scientific presentations and publications. The data are completely anonymous and will not reveal my identity as an individual in presentations or publications.  

I understand that my participation is voluntary and I can withdraw at any time without any reason. 

I agree that the fully anonymized scientific data from this study may be shared with other researchers. 

I have read and understood the information. By choosing ""I consent"" below and moving ahead with the survey, I agree to participate. (If you do not consent, please close the tab.)","What is your Prolific ID?



Please note that this response should auto-fill with the correct ID.","Event: The max. temperature in Rome on July 1, 2024 will exceed 35° Celsius.

 How likely is this event? (in %)",left Q1 sc,"Event: More than 5 million passengers will pass through Frankfurt airport in June 2024.

How likely is this event? (in %)",left Q2 sc,"Event: At the end of 2024, Taylor Swift will have more than 110 million monthly listeners on Spotify.

How likely is this event? (in %)",left Q3 sc,"Event: The Wimbledon tennis tournament will set a new attendance record in 2024.

How likely is this event? (in %)",left Q4 sc,"Event: The Etna will erupt more than once in 2024.

How likely is this event? (in %)",left Q5 sc,"Event: The Budapest part of the Danube will freeze (at least once) in 2024.

How likely is this event? (in %)",left Q6 sc,"Event: Athletes will set more new world records at the 2024 Olympic Games in Paris than at the previous Olympic Games in Tokyo.

How likely is this event? (in %)",left Q7 sc,"Event: There will be more than 6,920,000 articles in the English Wikipedia by January 1, 2025.

How likely is this event? (in %)",left Q8 sc,"Event: Harry Kane breaks the record for the most Bundesliga goals within a single season.

How likely is this event? (in %)",left Q9 sc,"Event: NASA confirms more than 100 new exoplanets in 2024.

How likely is this event? (in %)",left Q10 sc,"Event: The FTSE 100 Index (a proxy of the UK stock market) will increase over the next 12 months. 

How likely is this event? (in %)",left Q11 sc,"Event: The UK unemployment rate will exceed 5% in May 2024. 

How likely is this event? (in %)",left Q12 sc,"Event: The typical employee (with work experience) switching from another employer to your employer will receive a higher pay than before. 

How likely is this event? (in %)",left Q13 sc,"Event: Currently, the typical UK household applying for a loan will get rejected.

How likely is this event? (in %)",left Q14 sc,"Event: The typical student graduating with a Bachelor’s degree in Engineering this year earns more than £30,000 as a starting salary.

How likely is this event? (in %)",left Q15 sc,"Event: House prices across the UK will increase over the course of the next year.

How likely is this event? (in %)",left Q16 sc,"Event: A typical UK citizen born in 1990 will live to be 75 or older.

How likely is this event? (in %)",left Q17 sc,"Event: A recent graduate applying to a bank will get rejected for reasons related to race or gender.

How likely is this event? (in %)",left Q18 sc,"Event: Within the next 12 months, the European Central Bank will raise the interest rate on the main refinancing operations above 5%.

How likely is this event? (in %)",left Q19 sc,"Event: In March 2023 net migration in the UK will exceed 300,000.

How likely is this event? (in %)",left Q20 sc,"Event: When asked, someone who knows you well would describe you as a good human being.

How likely is this event? (in %)",left Q21 sc,"Event: When asked, someone who knows you well would describe you as funny. 

How likely is this event? (in %)",left Q22 sc,"Event: When asked, someone who knows you well would describe you as attractive. 

How likely is this event? (in %)",left Q23 sc,"Event: When asked, someone who knows you well would describe you as smart. 

How likely is this event? (in %)",left Q24 sc,"Event: When asked, someone who knows you well would describe you as loyal. 

How likely is this event? (in %)",left Q25 sc,"Event: When asked, someone who knows you well would describe you as honest. 

How likely is this event? (in %)",left Q26 sc,"Event: When asked, someone who knows you well would describe you as hard-working. 

How likely is this event? (in %)",left Q27 sc,"Event: When asked, someone who knows you well would describe you as generous. 

How likely is this event? (in %)",left Q28 sc,"Event: When asked, someone who knows you well would describe you as empathetic. 

How likely is this event? (in %)",left Q29 sc,"Event: When asked, someone who knows you well would describe you as social. 

How likely is this event? (in %)",left Q30 sc,"Event: The max. temperature in Rome on July 1, 2024 will exceed 35° Celsius. 

How likely is this event? (in %)",right Q1 sc,"Event: More than 5 million passengers will pass through Frankfurt airport in June 2024. 

How likely is this event? (in %)",right Q2 sc,"Event: At the end of 2024, Taylor Swift will have more than 110 million monthly listeners on Spotify.


How likely is this event? (in %)",right Q3 sc,"Event: The Wimbledon tennis tournament will set a new attendance record in 2024.

How likely is this event? (in %)",right Q4 sc,"Event: The Etna will erupt more than once in 2024.

How likely is this event? (in %)",right Q5 sc,"Event: The Budapest part of the Danube will freeze (at least once) in 2024.

How likely is this event? (in %)",right Q6 sc,"Event: Athletes will set more new world records at the 2024 Olympic Games in Paris than at the previous Olympic Games in Tokyo.

How likely is this event? (in %)",right Q7 sc,"Event: There will be more than 6,920,000 articles in the English Wikipedia by January 1, 2025.

How likely is this event? (in %)",right Q8 sc,"Event: Harry Kane breaks the record for the most Bundesliga goals within a single season.

How likely is this event? (in %)",right Q9 sc,"Event: NASA confirms more than 100 new exoplanets in 2024.

How likely is this event? (in %)",right Q10 sc,"Event: The FTSE 100 Index (a proxy of the UK stock market) will increase over the next 12 months.

How likely is this event? (in %)",right Q11 sc,"Event: The UK unemployment rate will exceed 5% in May 2024.

How likely is this event? (in %)",right Q12 sc,"Event: The typical employee (with work experience) switching from another employer to your employer will receive a higher pay than before.

How likely is this event? (in %)",right Q13 sc,"Event: Currently, the typical UK household applying for a loan will get rejected.

How likely is this event? (in %)",right Q14 sc,"Event: The typical student graduating with a Bachelor’s degree in Engineering this year earns more than £30,000 as a starting salary.

How likely is this event? (in %)",right Q15 sc,"Event: House prices across the UK will increase over the course of the next year.

How likely is this event? (in %)",right Q16 sc,"Event: A typical UK citizen born in 1990 will live to be 75 or older.

How likely is this event? (in %)",right Q17 sc,"Event: A recent graduate applying to a bank will get rejected for reasons related to race or gender.

How likely is this event? (in %)",right Q18 sc,"Event: Within the next 12 months, the European Central Bank will raise the interest rate on the main refinancing operations above 5%.

How likely is this event? (in %)",right Q19 sc,"Event: In March 2023 net migration in the UK will exceed 300,000.

How likely is this event? (in %)",right Q20 sc,"Event: When asked, someone who knows you well would describe you as a good human being.

How likely is this event? (in %)",right Q21 sc,"Event: When asked, someone who knows you well would describe you as funny.

How likely is this event? (in %)",right Q22 sc,"Event: When asked, someone who knows you well would describe you as attractive.

How likely is this event? (in %)",right Q23 sc,"Event: When asked, someone who knows you well would describe you as smart.

How likely is this event? (in %)",right Q24 sc,"Event: When asked, someone who knows you well would describe you as loyal.

How likely is this event? (in %)",right Q25 sc,"Event: When asked, someone who knows you well would describe you as honest.

How likely is this event? (in %)",right Q26 sc,"Event: When asked, someone who knows you well would describe you as hard-working.

How likely is this event? (in %)",right Q27 sc,"Event: When asked, someone who knows you well would describe you as generous.

How likely is this event? (in %)",right Q28 sc,"Event: When asked, someone who knows you well would describe you as empathetic.

How likely is this event? (in %)",right Q29 sc,"Event: When asked, someone who knows you well would describe you as social.

How likely is this event? (in %)",right Q30 sc,Imagine you had to describe yourself to a stranger. Please describe yourself with 5 words.,What do you think this survey was about?,"Was there anything unclear in the survey? If so, please let us know which parts of the survey.",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,PROLIFIC_PID
"{""ImportId"":""startDate"",""timeZone"":""Europe/Vienna""}","{""ImportId"":""endDate"",""timeZone"":""Europe/Vienna""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""Europe/Vienna""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID29""}","{""ImportId"":""QID49_TEXT""}","{""ImportId"":""QID2_1""}","{""ImportId"":""QID6_1""}","{""ImportId"":""QID52_1""}","{""ImportId"":""QID53_1""}","{""ImportId"":""QID71_1""}","{""ImportId"":""QID72_1""}","{""ImportId"":""QID73_1""}","{""ImportId"":""QID74_1""}","{""ImportId"":""QID75_1""}","{""ImportId"":""QID76_1""}","{""ImportId"":""QID77_1""}","{""ImportId"":""QID78_1""}","{""ImportId"":""QID79_1""}","{""ImportId"":""QID80_1""}","{""ImportId"":""QID81_1""}","{""ImportId"":""QID82_1""}","{""ImportId"":""QID83_1""}","{""ImportId"":""QID84_1""}","{""ImportId"":""QID85_1""}","{""ImportId"":""QID86_1""}","{""ImportId"":""QID63_1""}","{""ImportId"":""QID64_1""}","{""ImportId"":""QID87_1""}","{""ImportId"":""QID88_1""}","{""ImportId"":""QID89_1""}","{""ImportId"":""QID90_1""}","{""ImportId"":""QID91_1""}","{""ImportId"":""QID92_1""}","{""ImportId"":""QID93_1""}","{""ImportId"":""QID94_1""}","{""ImportId"":""QID95_1""}","{""ImportId"":""QID96_1""}","{""ImportId"":""QID97_1""}","{""ImportId"":""QID98_1""}","{""ImportId"":""QID99_1""}","{""ImportId"":""QID100_1""}","{""ImportId"":""QID101_1""}","{""ImportId"":""QID102_1""}","{""ImportId"":""QID103_1""}","{""ImportId"":""QID104_1""}","{""ImportId"":""QID65_1""}","{""ImportId"":""QID66_1""}","{""ImportId"":""QID105_1""}","{""ImportId"":""QID106_1""}","{""ImportId"":""QID107_1""}","{""ImportId"":""QID108_1""}","{""ImportId"":""QID109_1""}","{""ImportId"":""QID110_1""}","{""ImportId"":""QID111_1""}","{""ImportId"":""QID112_1""}","{""ImportId"":""QID113_1""}","{""ImportId"":""QID114_1""}","{""ImportId"":""QID115_1""}","{""ImportId"":""QID116_1""}","{""ImportId"":""QID117_1""}","{""ImportId"":""QID118_1""}","{""ImportId"":""QID119_1""}","{""ImportId"":""QID120_1""}","{""ImportId"":""QID123_1""}","{""ImportId"":""QID124_1""}","{""ImportId"":""QID4_1""}","{""ImportId"":""QID26_1""}","{""ImportId"":""QID125_1""}","{""ImportId"":""QID126_1""}","{""ImportId"":""QID129_1""}","{""ImportId"":""QID130_1""}","{""ImportId"":""QID131_1""}","{""ImportId"":""QID132_1""}","{""ImportId"":""QID133_1""}","{""ImportId"":""QID134_1""}","{""ImportId"":""QID135_1""}","{""ImportId"":""QID136_1""}","{""ImportId"":""QID137_1""}","{""ImportId"":""QID138_1""}","{""ImportId"":""QID139_1""}","{""ImportId"":""QID140_1""}","{""ImportId"":""QID141_1""}","{""ImportId"":""QID142_1""}","{""ImportId"":""QID143_1""}","{""ImportId"":""QID144_1""}","{""ImportId"":""QID67_1""}","{""ImportId"":""QID68_1""}","{""ImportId"":""QID145_1""}","{""ImportId"":""QID146_1""}","{""ImportId"":""QID147_1""}","{""ImportId"":""QID148_1""}","{""ImportId"":""QID149_1""}","{""ImportId"":""QID150_1""}","{""ImportId"":""QID151_1""}","{""ImportId"":""QID152_1""}","{""ImportId"":""QID153_1""}","{""ImportId"":""QID154_1""}","{""ImportId"":""QID155_1""}","{""ImportId"":""QID156_1""}","{""ImportId"":""QID157_1""}","{""ImportId"":""QID158_1""}","{""ImportId"":""QID159_1""}","{""ImportId"":""QID160_1""}","{""ImportId"":""QID161_1""}","{""ImportId"":""QID162_1""}","{""ImportId"":""QID69_1""}","{""ImportId"":""QID70_1""}","{""ImportId"":""QID163_1""}","{""ImportId"":""QID164_1""}","{""ImportId"":""QID165_1""}","{""ImportId"":""QID166_1""}","{""ImportId"":""QID167_1""}","{""ImportId"":""QID168_1""}","{""ImportId"":""QID169_1""}","{""ImportId"":""QID170_1""}","{""ImportId"":""QID171_1""}","{""ImportId"":""QID172_1""}","{""ImportId"":""QID173_1""}","{""ImportId"":""QID174_1""}","{""ImportId"":""QID175_1""}","{""ImportId"":""QID176_1""}","{""ImportId"":""QID177_1""}","{""ImportId"":""QID178_1""}","{""ImportId"":""QID179_1""}","{""ImportId"":""QID180_1""}","{""ImportId"":""QID20_TEXT""}","{""ImportId"":""QID10_TEXT""}","{""ImportId"":""QID19_TEXT""}","{""ImportId"":""QID21_FIRST_CLICK""}","{""ImportId"":""QID21_LAST_CLICK""}","{""ImportId"":""QID21_PAGE_SUBMIT""}","{""ImportId"":""QID21_CLICK_COUNT""}","{""ImportId"":""PROLIFIC_PID""}"
2/7/2024 14:35,2/7/2024 14:42,0,51.52.34.127,100,380,1,2/7/2024 14:42,R_8KGEb7Lm5Bubuoh,,,,,51.4805,-0.0113,anonymous,EN,1,63d7a39a9b2af0db6c05d600,100,,95,,75,,111,25,111,15,45,,90,,85,,111,0,55,,50,,95,,85,,70,,75,,95,,90,,95,,45,,45,,100,,80,,65,,60,,100,,95,,95,,100,,90,,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Kind, caring, friendly, fun, attentive",How you perceive yourself when compared to events,,0,0,1.569,0,63d7a39a9b2af0db6c05d600
2/7/2024 14:35,2/7/2024 14:42,0,77.101.205.119,100,420,1,2/7/2024 14:42,R_23l501TbM601qom,,,,,51.3188,-2.2034,anonymous,EN,1,62fbf5894e81321bd08732b5,111,25,55,,80,,50,,111,5,111,5,50,,60,,50,,111,40,80,,55,,55,,111,5,50,,90,,80,,111,0,111,15,60,,65,,65,,60,,65,,65,,80,,65,,70,,70,,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"hardworking, driven, honest, kind, thoughtful",to gauge peoples understanding of the world around them and to also gauge themselves?,,0,0,1.434,0,62fbf5894e81321bd08732b5
2/7/2024 14:36,2/7/2024 14:43,0,5.80.104.83,100,419,1,2/7/2024 14:43,R_3asLD5ug6wxikPX,,,,,51.3453,1.3791,anonymous,EN,1,5f02573cfb99633f2a3705f2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,70,55,,999,70,999,60,25,,40,,999,65,999,90,30,,40,,999,75,999,80,999,80,50,,55,,999,90,999,80,30,,50,,999,60,999,90,999,90,25,,999,60,999,90,999,95,999,65,50,,999,95,50,,"Honest, caring, shy, creative, funny",People's perception of themselves versus their perception of external events/factors,,0,0,2.016,0,5f02573cfb99633f2a3705f2
2/7/2024 14:40,2/7/2024 14:44,0,86.21.129.66,100,261,1,2/7/2024 14:44,R_7HqBdOccpoYcT3q,,,,,52.9994,-1.1318,anonymous,EN,1,5ecd61476e04500905a6eed2,80,,45,,90,,50,,111,10,111,40,70,,85,,90,,50,,90,,55,,90,,60,,111,30,90,,60,,45,,70,,60,,90,,70,,65,,70,,85,,90,,80,,75,,90,,111,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Kind, friendly, caring, loyal, funny",Not sure,,0.748,0.748,1.094,1,5ecd61476e04500905a6eed2
2/7/2024 14:36,2/7/2024 14:45,0,86.131.124.233,100,526,1,2/7/2024 14:45,R_2shIR8CDCtaxy9C,,,,,53.6774,-1.2906,anonymous,EN,1,5c5ef63908ac630001cdc14d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,50,,55,,40,,5,,20,,55,,50,,20,,50,,45,,50,,999,70,30,,999,90,40,,999,70,40,,25,,999,80,999,80,999,65,25,,999,65,999,80,999,80,30,,50,,999,75,50,,"Honest, intelligent, disabled, funny, kind","Whether the way answer data is presented affects peoples responses, aka 60-10",I din't realise 60-100 would open a down bar to start with,0,0,1.544,0,5c5ef63908ac630001cdc14d
2/7/2024 14:41,2/7/2024 14:46,0,137.44.122.122,100,309,1,2/7/2024 14:46,R_8cASK4wIgR4KPbS,,,,,51.6235,-4.0344,anonymous,EN,1,61113174086cf97e300102d2,80,,75,,80,,60,,60,,45,,80,,75,,65,,70,,60,,50,,80,,70,,70,,90,,85,,45,,55,,80,,100,,90,,80,,95,,100,,90,,90,,90,,100,,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Creative, Kind, Empathetic, Weird, Happy",General knowlege of event and their likelihood to happen,,0,0,1.651,0,61113174086cf97e300102d2
2/7/2024 14:42,2/7/2024 14:46,0,37.156.72.112,100,236,1,2/7/2024 14:46,R_5lB2b0sFfjTd9rB,,,,,51.5064,-0.02,anonymous,EN,1,6137c0a8dfeea079086c814c,100,,100,,100,,80,,111,15,65,,100,,80,,55,,95,,90,,90,,95,,70,,90,,100,,100,,45,,90,,100,,80,,95,,90,,85,,65,,80,,85,,95,,90,,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"thoughtful, creative, empathetic, energetic and kind",I have no clue,,0,0,1.306,0,6137c0a8dfeea079086c814c
2/7/2024 14:41,2/7/2024 14:47,0,134.225.31.43,100,368,1,2/7/2024 14:47,R_2HuJMpw8ZiiAfY8,,,,,51.4566,-0.968,anonymous,EN,1,6329e5f4b69d5839344c8d6c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,90,40,,999,90,999,80,30,,999,70,999,90,999,95,999,90,30,,40,,15,,30,,35,,999,90,20,,999,80,30,,25,,55,,999,100,999,70,999,80,999,80,45,,999,90,999,70,999,80,999,90,999,80,"Generous, kind, fun, nice, friendly",How self perceptions relate to perceptions about other things? ,,0,0,2.006,0,6329e5f4b69d5839344c8d6c
